K_PRED,DIMENSION,BATCH_SIZE,TEST_SIZE,GAMMA,ACCURACY,PERPLEXITY
20,3,20,0.05,0.01,20.48,428.35
20,3,64,0.05,0.01,19.88,511.72
10,2,32,0.1,0.01,0.16,761.12
20,2,32,0.05,0.01,0.18,743.41
20,2,64,0.1,0.001,0.2,669.49
10,3,64,0.05,0.001,16.46,388.89
20,3,64,0.1,0.01,20.14,467.51
10,3,32,0.1,0.1,16.34,743.74
10,2,32,0.05,0.01,0.18,794.42
20,3,32,0.05,0.01,20.87,487.6
10,2,64,0.05,0.1,0.14,974.88
10,3,32,0.1,0.01,16.03,487.88
20,3,32,0.1,0.001,19.97,406.06
20,3,32,0.05,0.1,20.02,800.95
20,3,64,0.05,0.001,19.99,374.67
20,3,32,0.1,0.1,20.08,705.91
20,3,64,0.05,0.1,19.52,739.45
10,3,32,0.05,0.01,16.11,458.96
10,3,32,0.05,0.1,15.72,549.03
20,3,32,0.1,0.01,20.0,455.21
20,2,64,0.05,0.01,0.26,781.46
10,0.05,2,100,0.001,0.16,647.91
10,0.05,3,100,0.001,17.99,383.45
10,0.05,2,100,0.001,0.0,647.91
10,0.05,3,100,0.001,22.41,383.45
10,0.05,2,100,0.001,15.46,647.91
