K_PRED,DIMENSION,BATCH_SIZE,TEST_SIZE,ACCURACY
20,3,64,0.05,19.43
20,2,32,0.1,0.2
10,2,64,0.1,0.16
10,3,32,0.05,16.64
10,3,32,0.05,16.61
10,3,64,0.05,16.61
20,3,64,0.05,20.11
10,2,32,0.05,0.19
10,2,32,0.1,0.13
10,2,64,0.1,0.18
20,3,32,0.1,19.81
10,2,32,0.1,0.17
10,2,32,0.1,0.17
10,3,64,0.05,16.09
20,2,64,0.05,0.19
20,3,64,0.05,20.35
10,2,64,0.1,0.19
10,2,32,0.05,0.23
10,3,64,0.1,16.16
20,3,32,0.05,20.09
10,2,32,0.1,0.15
10,2,64,0.1,0.15
10,3,32,0.1,16.47
10,2,64,0.05,0.19
10,2,32,0.1,0.16
10,3,64,0.05,16.34
10,3,32,0.1,16.47
20,3,32,0.05,20.42
10,2,32,0.1,0.17
20,3,32,0.1,20.37
10,2,64,0.1,0.17
10,3,64,0.1,16.5
10,3,64,0.1,16.06
20,2,64,0.1,0.18
